code  , name    , signal_date, close  , ma20                 , ma60                 , ma120                , ma20_slope_5           , ma60_slope_10          , ret10                 , ret20                 , ret60                 , amount_ma5   , amount_ma20   , amount_ratio_5_20  , turnover_ma5         , turnover_ma20        , high20 , high60 , is_20d_high, is_60d_high, dist_to_60d_high      , max_dd20             , up_down_amount_ratio20, limit_up_count_5, heavy_bearish_candle, bench_ret20         , bench_ret60         , ret20_rank_pct        , ret60_rank_pct        , basic_liquid, trend_basic, relative_strength, volume_ok, near_breakout, risk_ok, candidate, score, status
603060, 国检集团, 2026-06-08 ,    7.3 ,    6.8709999999999996,    6.6274999999999995,    6.535083333333333 , 0.010144075271978803   , 0.0025969441783066927  , 0.07195301027900158   , 0.054913294797687806  , 0.05950653120464433   ,   179261670.6,   142555094.45, 1.2574904551227704 , 0.03129658521279316  , 0.025592565163631297 ,    7.45,    7.45, False      , False      , -0.020134228187919545 , -0.12342215988779803 ,    1.1716565783565567 ,              0.0, False               , -0.04810356237493274, 0.008317011625847526, 0.914836992681304     , 0.8429807052561543    , True        , True       , True             , True     , True         , True   , True     ,    81, 趋势观察池
601939, 建设银行, 2026-06-08 ,   10.33,   10.005500000000001 ,    9.650333333333332 ,    9.297249999999998 , 0.010452433851747323   , 0.02332897387861843    , 0.018737672583826415  , 0.07604166666666679   , 0.15548098434004487   ,  1054989223.8,  1015239546.05, 1.0391530037464107 , 0.010809689282129619 , 0.010540390115315065 ,   10.45,   10.45, False      , False      , -0.011483253588516651 , -0.033947623666343296,    1.7870397718004722 ,              0.0, False               , -0.04810356237493274, 0.008317011625847526, 0.9278110445775116    , 0.9085163007318696    , True        , True       , True             , False    , True         , True   , False    ,    84, 回踩观察
601988, 中国银行, 2026-06-08 ,    6.14,    5.8629999999999995,    5.7395000000000005,    5.608083333333334 , 0.012957843814789038   , 0.017671917018824645   , 0.04067796610169472   , 0.08098591549295775   , 0.15196998123827377   ,  1814478705.4,  1607181700.95, 1.1289816853486245 , 0.0014340612961320199, 0.001297856727177875 ,    6.17,    6.17, False      , False      , -0.004862236628849326 , -0.022298456260720356,    2.897286549853956  ,              0.0, False               , -0.04810356237493274, 0.008317011625847526, 0.9288090485695276    , 0.906187624750499     , True        , True       , True             , False    , True         , True   , False    ,    84, 回踩观察
000429, 粤高速Ａ, 2026-06-08 ,   13.86,   13.51              ,   12.994166666666668 ,   12.495000000000001 , 0.02344608158781858    , 0.021527213647441146   , 0.024390243902439046  , 0.07441860465116279   , 0.11146752205292687   ,    85262416.0,    91708744.8 , 0.9297086792098369 , 0.004711689167669501 , 0.005219674518847366 ,   14.21,   14.21, False      , False      , -0.024630541871921263 , -0.026836158192090398,    3.3230412792455377 ,              0.0, False               , -0.04810356237493274, 0.008317011625847526, 0.9268130405854956    , 0.8829008649367931    , True        , True       , True             , False    , True         , True   , False    ,    81, 回踩观察
000552, 甘肃能化, 2026-06-08 ,    2.8 ,    2.7659999999999996,    2.7471666666666668,    2.5795833333333333, 0.003446399419553714   , 0.018789789232956267   , 0.040892193308550207  , -0.003558718861210064 , 0.11111111111111094   ,   351554803.2,   250018251.35, 1.4061165586981856 , 0.03280907344111106  , 0.024043012266232976 ,    2.97,    3.03, False      , False      , -0.07590759075907594  , -0.07092198581560272 ,    1.2639746745315967 ,              0.0, False               , -0.04810356237493274, 0.008317011625847526, 0.85395874916833      , 0.8822355289421158    , True        , True       , True             , True     , False        , True   , False    ,    80, 回踩观察
001289, 龙源电力, 2026-06-08 ,   18.51,   18.032             ,   17.271666666666665 ,   16.5               , 0.02146943862233064    , 0.01473684210526316    , 0.020959735245449584  , 0.04694570135746612   , 0.04635387224420584   ,   335676160.6,   238037113.3 , 1.4101841345090786 , 0.0035123358266840807, 0.0025783989392051503,   20.23,   20.23, False      , False      , -0.08502224419179427  , -0.05207166853303469 ,    2.4623436712383944 ,              0.0, False               , -0.04810356237493274, 0.008317011625847526, 0.9085163007318696    , 0.833666001330672     , True        , True       , True             , True     , False        , True   , False    ,    80, 回踩观察
002823, 凯中精密, 2026-06-08 ,   18.31,   17.733             ,   16.174333333333333 ,   16.051916666666667 , 0.04675048698423945    , 0.027344039465187375   , -0.015591397849462507 , 0.10701330108827078   , 0.12607626076260736   ,   660156313.2,   369666701.45, 1.785814926285133  , 0.1550126830007459   , 0.09158072750201941  ,   21.35,   21.35, False      , False      , -0.14238875878220147  , -0.12182254196642694 ,    1.6460036807422807 ,              0.0, False               , -0.04810356237493274, 0.008317011625847526, 0.9397870924817032    , 0.8915502328675982    , True        , True       , True             , True     , False        , True   , False    ,    80, 回踩观察
600011, 华能国际, 2026-06-08 ,    8.41,    8.0485            ,    7.478666666666667 ,    7.4528333333333325, 0.04969025105966751    , 0.027383460023811868   , 0.12734584450402142   , 0.12433155080213898   , 0.11835106382978733   ,  3592982776.8,  2383946564.75, 1.507157429586426  , 0.0370355253411735   , 0.026014427445092497 ,    9.76,    9.76, False      , False      , -0.1383196721311475   , -0.1403688524590163  ,    1.8052979214260396 ,              0.0, False               , -0.04810356237493274, 0.008317011625847526, 0.9457751164337991    , 0.8865602129075183    , True        , True       , True             , True     , False        , True   , False    ,    80, 回踩观察
600222, 太龙药业, 2026-06-08 ,    8.12,    7.9465            ,    7.419666666666667 ,    7.180000000000001 , 0.042916201850515145   , 0.022063043827628137   , 0.030456852791878042  , 0.04909560723514206   , 0.09286675639300124   ,   372803480.8,   269222001.05, 1.3847437406527663 , 0.07713219031582949  , 0.0585403941428584   ,    9.05,    9.05, False      , False      , -0.10276243093922666  , -0.06666666666666665 ,    1.5195161308421288 ,              0.0, False               , -0.04810356237493274, 0.008317011625847526, 0.9101796407185628    , 0.8659347970725216    , True        , True       , True             , True     , False        , True   , False    ,    80, 回踩观察
600919, 江苏银行, 2026-06-08 ,   11.44,   11.241             ,   11.047500000000001 ,   10.603083333333332 , 0.0020949409404948938  , 0.012835205134082317   , 0.026008968609865457  , 0.007042253521126751  , 0.09578544061302674   ,  1049002094.6,  1021120382.75, 1.0273050193894977 , 0.005015580896385739 , 0.00494152271858282  ,   11.56,   11.56, False      , False      , -0.01038062283737029  , -0.02300884955752225 ,    1.144709928567559  ,              0.0, False               , -0.04810356237493274, 0.008317011625847526, 0.8652694610778443    , 0.8682634730538922    , True        , True       , True             , False    , True         , True   , False    ,    80, 回踩观察
000333, 美的集团, 2026-06-08 ,   82.85,   81.251             ,   78.70533333333333  ,   78.62916666666666  , 0.0060361425644011035  , 0.00869141730551104    , 0.03809046485402812   , 0.027023676707573996  , 0.08159268929503916   ,  2167425730.2,  2533729263.2 , 0.8554290948444219 , 0.0038288715443784995, 0.004543035322421815 ,   83.75,   83.75, False      , False      , -0.010746268656716462 , -0.04684293130508266 ,    1.7413385376976138 ,              0.0, False               , -0.04810356237493274, 0.008317011625847526, 0.8898868928809048    , 0.8579507651363939    , True        , True       , True             , False    , True         , True   , False    ,    79, 回踩观察
600377, 宁沪高速, 2026-06-08 ,   12.63,   12.5355            ,   12.202499999999999 ,   12.114916666666666 , 0.011335215812827926   , 0.00950004136447613    , 0.02184466019417486   , 0.03270645952575646   , 0.04293971924029738   ,   110106742.2,   108449759.85, 1.015278801467996  , 0.0022641931747460994, 0.00227165875438614  ,   13.07,   13.07, False      , False      , -0.033664881407804104 , -0.02995391705069117 ,    1.0649131485657968 ,              0.0, False               , -0.04810356237493274, 0.008317011625847526, 0.8962075848303394    , 0.8296739853626082    , True        , True       , True             , False    , True         , True   , False    ,    79, 回踩观察
