code,name,industry,signal_date,close,ma5,ma10,ma20,ma60,ma120,ma5_slope_3,ma10_slope_5,ma20_slope_5,ma60_slope_10,ret5,ret10,ret20,ret60,amount_ma5,amount_ma10,amount_ma20,amount_ratio_5_20,turnover_ma5,turnover_ma20,high20,high60,is_20d_high,is_60d_high,dist_to_60d_high,max_dd20,atr20,atr20_pct,up_down_amount_ratio20,limit_up_count_5,heavy_bearish_candle,short_term_strong,pullback_rebound,bench_ret20,bench_ret60,market_ok,market_state,ret20_rank_pct,ret60_rank_pct,industry_ret20,industry_ret60,industry_ret20_rank_pct,industry_ret60_rank_pct,industry_count,industry_strong,basic_liquid,trend_basic,relative_strength,volume_ok,near_breakout,risk_ok,short_term_ok,candidate,score,trend_confirmed_by_score,status,score_trend_status,score_now,score_1d_ago,score_3d_ago,score_5d_ago,score_change_1d,score_change_3d,score_change_5d,score_ma3,score_ma5,score_min5,score_max5,score_rise_days_5,score_momentum,status_5d_ago,status_changed
002174,游族网络,,2026-06-23,12.72,12.022,11.345,11.253499999999999,10.577333333333334,11.097166666666668,0.10212687935460218,0.05574167131956087,4.443259575204195e-05,0.02110953790706671,0.14697926059513078,0.18325581395348833,0.06532663316582932,0.37216828478964414,659098016.0,540272502.3,463477680.7,1.4220706701659303,0.056410780631832004,0.04180039932682077,12.86,12.86,False,False,-0.010886469673405785,-0.15561224489795922,0.635,0.04992138364779874,1.2474947072879594,0.0,False,True,False,-0.00044924442208482684,0.09937243028728959,False,市场中性偏强,0.8809840425531915,0.9065824468085106,,,,,,True,True,False,True,True,True,True,True,False,87,True,市场环境弱观察,趋势转强,87.0,75.0,64.0,46.0,12.0,23.0,41.0,73.66666666666667,70.0,59.0,87.0,2.0,35.25,跌破MA20观察,True
603082,北自科技,,2026-06-23,47.0,41.194,37.506,37.227999999999994,37.242333333333335,37.40475000000001,0.19736077200325575,0.07273403312072757,-0.02319479429051241,0.004513373791863229,0.38235294117647056,0.30846325167037847,0.14970645792563597,0.39300533491404854,377073201.4,253868890.0,257357277.65,1.4651740368221133,0.21886278290500502,0.16376697676597568,49.64,51.3,False,False,-0.08382066276803113,-0.22820390662220102,2.6305,0.05596808510638298,2.540389906442178,2.0,False,True,False,-0.00044924442208482684,0.09937243028728959,False,市场中性偏强,0.932845744680851,0.9125664893617021,,,,,,True,True,False,True,True,False,False,True,False,67,False,市场环境弱观察,趋势修复,67.0,62.0,42.0,29.0,5.0,25.0,38.0,56.333333333333336,48.0,29.0,67.0,3.0,35.150000000000006,跌破MA60剔除,True
002888,惠威科技,,2026-06-23,22.63,21.310000000000002,20.255000000000003,19.698999999999998,19.677166666666665,20.018666666666668,0.09383020223796312,0.05187993352721265,-0.024488077846831824,0.007655804584947745,0.14698428788646734,0.14698428788646734,0.09323671497584529,0.23593664664117964,115655971.8,104341695.0,125570163.1,0.9210466001218406,0.07292371556832591,0.08468909221758542,23.09,25.55,False,False,-0.11428571428571432,-0.08041958041958042,1.2975000000000003,0.05733539549270881,0.9497712998251573,0.0,False,True,False,-0.00044924442208482684,0.09937243028728959,False,市场中性偏强,0.9042553191489362,0.863031914893617,,,,,,True,True,False,True,False,False,True,True,False,70,False,市场环境弱观察,趋势转强,70.0,63.0,46.0,37.0,7.0,24.0,33.0,62.0,52.2,29.0,70.0,4.0,34.400000000000006,跌破MA20观察,True
002837,英维克,,2026-06-23,81.48,76.19200000000001,72.333,70.8545,74.35016666666667,76.77808333333333,0.083627261349414,0.06893952828515704,-0.013999345955010067,-0.01220732749649045,0.15525308379413016,0.28557904701798686,0.0002455192732631062,0.07849106551952367,6236692465.2,5129188665.5,4745584760.75,1.3142094767293426,0.07152934647436292,0.05818066457545172,85.03,93.47,False,False,-0.1282764523376484,-0.16252642706131082,4.514999999999999,0.0554123711340206,1.1367644873801792,0.0,False,True,False,-0.00044924442208482684,0.09937243028728959,False,市场中性偏强,0.7912234042553191,0.7752659574468085,,,,,,True,True,False,True,True,False,True,True,False,55,False,市场环境弱观察,震荡无趋势,55.0,33.0,30.0,23.0,22.0,25.0,32.0,42.0,36.8,28.0,55.0,3.0,34.400000000000006,跌破MA60剔除,True
603166,福达股份,,2026-06-23,15.95,15.922,14.613999999999999,13.795499999999999,13.691,14.668166666666668,0.13436876603020798,0.11616894523791332,0.03113087674714099,0.01079132264455085,0.18587360594795532,0.13766048502139805,0.13442389758179218,0.25098039215686274,584067923.4,367006631.8,243699178.4,2.3966758002004,0.05749857357550324,0.025936925645663623,17.05,17.05,False,False,-0.06451612903225812,-0.11824080749819743,0.7769999999999999,0.04871473354231975,1.931577796139517,1.0,False,True,False,-0.00044924442208482684,0.09937243028728959,False,市场中性偏强,0.925531914893617,0.8683510638297872,,,,,,True,True,False,True,True,False,True,True,False,84,True,市场环境弱观察,趋势转强,84.0,97.0,77.0,33.0,-13.0,7.0,51.0,91.0,83.8,69.0,97.0,3.0,34.2,跌破MA60剔除,True
605100,华丰股份,,2026-06-23,41.53,39.00599999999999,37.452000000000005,36.464,35.03266666666666,33.12316666666667,0.08949220713926587,0.0631617793170014,-0.006281595334450607,0.0415849041644365,0.17915956842703018,0.25848484848484854,0.050063211125158213,0.4805704099821746,360256005.6,290969178.1,228715708.45,1.5751257665747795,0.03896942726670495,0.025973901745572136,42.12,42.12,False,False,-0.0140075973409306,-0.1361256544502618,2.2785,0.05486395376836022,1.7858908685521542,0.0,False,True,False,-0.00044924442208482684,0.09937243028728959,False,市场中性偏强,0.867686170212766,0.9315159574468085,,,,,,True,True,False,True,True,True,True,True,False,91,False,市场环境弱观察,趋势转强,91.0,90.0,67.0,57.0,1.0,24.0,34.0,86.33333333333333,78.0,64.0,91.0,4.0,34.05,跌破MA20观察,True
002861,瀛通通讯,,2026-06-23,20.07,19.098000000000003,18.545,18.372,17.141333333333332,18.048000000000002,0.05234736610094792,0.02890590324012443,0.0033313308939981745,0.0107216211169745,0.10093252879868353,0.13904653802497147,0.04640250260688217,0.28079132099553283,185196801.6,140420915.1,126879029.0,1.4596328728209294,0.06398641123300777,0.04547358977253162,20.45,20.45,False,False,-0.018581907090464478,-0.07165437302423605,1.0640000000000005,0.053014449427005506,1.0902885345220652,0.0,False,True,False,-0.00044924442208482684,0.09937243028728959,False,市场中性偏强,0.8636968085106383,0.882313829787234,,,,,,True,True,False,True,True,True,True,True,False,87,True,市场环境弱观察,趋势转强,87.0,87.0,53.0,51.0,0.0,34.0,36.0,81.66666666666667,71.2,53.0,87.0,2.0,34.0,跌破MA20观察,True
000783,长江证券,,2026-06-23,9.46,8.379999999999999,7.857000000000001,7.728999999999999,7.457666666666666,7.614333333333334,0.0902940411137132,0.07029015120555804,0.011649214659685603,0.018366371560572636,0.19444444444444464,0.345661450924609,0.17955112219451386,0.4204204204204205,1502300277.8,1192423026.7,956152821.0,1.5711926428547345,0.0317352746790565,0.021306101222880246,9.46,9.46,True,True,0.0,-0.12887236679058245,0.3330000000000001,0.03520084566596195,1.7282888581469074,2.0,False,True,False,-0.00044924442208482684,0.09937243028728959,False,市场中性偏强,0.9414893617021277,0.9178856382978723,,,,,,True,True,False,True,True,True,True,True,False,99,True,市场环境弱观察,趋势转强,99.0,94.0,72.0,65.0,5.0,27.0,34.0,88.33333333333333,81.4,70.0,99.0,3.0,33.550000000000004,回踩观察,True
002989,中天精装,,2026-06-23,37.6,35.698,31.656,30.3825,28.977166666666665,29.35141666666667,0.21628620102214646,0.12843546144797346,0.026314456060938962,0.02058630162718078,0.33950837192732464,0.3539791141519626,0.18611987381703488,0.4029850746268657,617525590.8,387394345.2,300009596.0,2.058352796155227,0.09519926443511498,0.05127229120092712,38.99,38.99,False,False,-0.03565016670941268,-0.14060995184590686,2.2589999999999995,0.06007978723404254,1.5970105526382101,3.0,False,True,False,-0.00044924442208482684,0.09937243028728959,False,市场中性偏强,0.9454787234042553,0.914561170212766,,,,,,True,True,False,True,True,True,True,True,False,83,True,市场环境弱观察,趋势转强,83.0,90.0,66.0,37.0,-7.0,17.0,46.0,87.66666666666667,74.6,44.0,90.0,2.0,33.349999999999994,跌破MA60剔除,True
001309,德明利,,2026-06-23,755.01,713.8720000000001,671.469,652.8925,568.0726666666667,415.886,0.09593112511206914,0.07098664514492903,0.011553439499376816,0.11003870308830077,0.17628454803228122,0.2838122768236693,0.08634532374100723,1.1617419687338946,10966842243.8,8978057717.9,8843045693.8,1.2401657328864677,0.0942185854358883,0.0817691216877475,796.0,796.0,False,False,-0.051494974874371824,-0.13622677535433647,47.044,0.062309108488629285,1.998902391152238,0.0,False,True,True,-0.00044924442208482684,0.09937243028728959,False,市场中性偏强,0.9012632978723404,0.9773936170212766,,,,,,True,True,True,True,True,False,True,True,False,93,True,市场环境弱观察,趋势转强,93.0,90.0,78.0,56.0,3.0,15.0,37.0,88.66666666666667,81.8,65.0,93.0,4.0,33.3,跌破MA20观察,True
