code,name,industry,signal_date,close,ma5,ma10,ma20,ma60,ma120,ma5_slope_3,ma10_slope_5,ma20_slope_5,ma60_slope_10,ret5,ret10,ret20,ret60,amount_ma5,amount_ma10,amount_ma20,amount_ratio_5_20,turnover_ma5,turnover_ma20,high20,high60,is_20d_high,is_60d_high,dist_to_60d_high,max_dd20,atr20,atr20_pct,up_down_amount_ratio20,limit_up_count_5,heavy_bearish_candle,short_term_strong,pullback_rebound,bench_ret20,bench_ret60,market_ok,market_state,ret20_rank_pct,ret60_rank_pct,industry_ret20,industry_ret60,industry_ret20_rank_pct,industry_ret60_rank_pct,industry_count,industry_strong,basic_liquid,trend_basic,relative_strength,volume_ok,near_breakout,risk_ok,short_term_ok,candidate,score,status
001332,锡装股份,,2026-06-03,52.95,48.426,47.729,46.993,42.563833333333335,41.092083333333335,0.03642667579830494,0.019131808767322234,0.018145183130937825,0.029487882354838124,0.1525903352198521,0.13068545803971832,0.16552938586836907,0.3116175377755761,259241737.4,231691752.8,203274548.75,1.2753280673559975,0.08005330737017292,0.06375942465320081,53.88,53.88,False,False,-0.017260579064588,-0.07939086294416242,2.7820000000000005,0.05254013220018886,1.646498642495834,0.0,False,True,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.9318030605455755,0.926480372588157,,,,,,True,True,True,True,True,True,True,True,True,100,强趋势池
002125,湘潭电化,,2026-06-03,16.55,15.23,14.725,14.697,14.1715,14.147416666666667,0.05602551657190391,0.03609625668449201,0.008093833596268363,0.00333939064970612,0.17709815078236124,0.1704384724186705,0.06774193548387109,0.11297915265635528,655562598.8,590152069.0,468543780.35,1.3991490791112364,0.06848202365881786,0.04995053663315061,16.55,16.55,True,True,0.0,-0.10064516129032264,0.7839999999999998,0.0473716012084592,0.9771341741486095,1.0,False,True,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.8652694610778443,0.844311377245509,,,,,,True,True,True,True,True,True,True,True,True,100,强趋势池
002851,麦格米特,,2026-06-03,157.98,140.394,134.52,130.71949999999998,115.54266666666666,109.06108333333333,0.05124672407338071,0.052145823719427664,0.053463136305208714,0.014693721028604223,0.1628146621522153,0.2885807504078304,0.31288955372725,0.2285558752624619,5686145132.6,4667898336.3,3849988242.3,1.4769253241155542,0.0868844816014856,0.06284375674257515,162.75,162.75,False,False,-0.029308755760368732,-0.1535615842158713,8.928999999999998,0.05651981263451069,1.5298696635805726,1.0,False,True,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.9700598802395209,0.9025282767797738,,,,,,True,True,True,True,True,True,True,True,True,100,强趋势池
600869,远东股份,,2026-06-03,26.9,24.234,22.622000000000003,21.985,17.1275,13.744416666666666,0.1128765613519469,0.06087038079159646,0.08359209423825731,0.09417589437819429,0.27066603684459123,0.2144469525959367,0.4747807017543859,0.9985141158989597,3278194550.4,2729657224.3,2535634252.5,1.2928499239067603,0.06069439733849317,0.051494875546926645,27.81,27.81,False,False,-0.03272204243078025,-0.10273081924577376,1.6305,0.06061338289962826,2.116718924888532,2.0,False,True,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.9856952761144377,0.9893546240851631,,,,,,True,True,True,True,True,True,True,True,True,100,强趋势池
600995,南网储能,,2026-06-03,16.3,15.628,14.870000000000001,14.837,14.649666666666665,13.944333333333335,0.07987838584853524,0.033212896053363083,0.02239525909592066,0.0061584249084247755,0.1503175723359209,0.12181693048864428,0.11567419575633142,0.0787557908669756,1202695038.4,748056319.2,616992909.8,1.9492850230480885,0.02422935661720424,0.012744267449789515,16.45,16.86,False,False,-0.033214709371292894,-0.07656765676567656,0.6569999999999998,0.040306748466257654,2.342221455725812,0.0,False,True,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.9048569527611444,0.8193612774451098,,,,,,True,True,True,True,True,True,True,True,True,100,强趋势池
601001,晋控煤业,,2026-06-03,21.88,19.764000000000003,18.43,18.102,17.583000000000002,16.202416666666668,0.12808219178082214,0.05822232429949459,0.0106356251570221,0.016358381502890262,0.26547137073452864,0.23406655386350805,0.1325051759834368,0.27654609101516914,946540700.4,664026937.7,532254171.5,1.7783622019015026,0.027993173926032094,0.01699613446256791,22.72,22.72,False,False,-0.0369718309859155,-0.09189189189189184,1.0984999999999998,0.050205667276051184,2.230650981917969,1.0,False,True,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.914836992681304,0.91583499667332,,,,,,True,True,True,True,True,True,True,True,True,100,强趋势池
601101,昊华能源,,2026-06-03,13.73,12.636,11.489,11.049000000000001,9.484,8.472916666666666,0.15397260273972613,0.09575584167858864,0.042899617726178896,0.06438217799558554,0.3063748810656519,0.283177570093458,0.18771626297577848,0.6345238095238095,1065761703.6,698147171.5,577238448.65,1.8463110108006837,0.05702608463340242,0.034218806715142415,14.36,14.36,False,False,-0.04387186629526452,-0.09255898366606163,0.8549999999999999,0.06227239621267297,1.9850091680670705,2.0,False,True,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.9414504324683965,0.9703925482368596,,,,,,True,True,True,True,True,True,True,True,True,100,强趋势池
603031,安孚科技,,2026-06-03,63.26,60.246,56.91799999999999,54.211,42.19216666666667,38.04058333333333,0.07963872262642924,0.05783741590157199,0.0985116363894265,0.07877545628486327,0.1990144048521607,0.11294862772695269,0.49233309742863884,0.7383896674910688,1853772422.6,1532910610.3,1446682563.2,1.2813954282406879,0.09847669920194022,0.08483534923425085,64.09,64.09,False,False,-0.012950538305507964,-0.10196560196560189,4.6705000000000005,0.07383022447043947,1.1538841115478873,1.0,False,True,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.9873586161011311,0.97771124417831,,,,,,True,True,True,True,True,True,True,True,True,100,强趋势池
603458,勘设股份,,2026-06-03,13.84,13.362,13.352,13.288499999999999,11.645999999999999,10.940416666666666,0.010894235133908303,0.004362870467880198,0.03115542795064785,0.043127771060056386,0.0871956009426551,0.0728682170542636,0.14569536423841067,0.329490874159462,410329580.0,358023461.8,293287551.85,1.3990691981699255,0.09903347041328411,0.07185214314460288,14.18,14.18,False,False,-0.023977433004231274,-0.08941344778254645,0.859,0.06206647398843931,1.1365417307481405,1.0,False,True,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.9204923486360612,0.9314703925482368,,,,,,True,True,True,True,True,True,True,True,True,100,强趋势池
603618,杭电股份,,2026-06-03,43.75,41.193999999999996,39.568,38.938500000000005,29.217166666666667,19.85375,0.08149120504069285,0.03095362167795712,0.08006490624653284,0.14425304987500254,0.22206703910614545,0.02747768905589476,0.40720488903184315,1.1013448607108551,4332642494.8,3906183708.5,3547784265.3,1.2212249028714919,0.15501638808158366,0.13177924241401068,45.2,45.2,False,False,-0.03207964601769919,-0.17426021606387976,3.7910000000000004,0.08665142857142857,1.6818948084639602,2.0,False,True,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.9793745841650033,0.9903526280771789,,,,,,True,True,True,True,True,True,True,True,True,99,强趋势池
