code,name,industry,signal_date,close,ma5,ma10,ma20,ma60,ma120,ma5_slope_3,ma10_slope_5,ma20_slope_5,ma60_slope_10,ret5,ret10,ret20,ret60,amount_ma5,amount_ma10,amount_ma20,amount_ratio_5_20,turnover_ma5,turnover_ma20,high20,high60,is_20d_high,is_60d_high,dist_to_60d_high,max_dd20,atr20,atr20_pct,up_down_amount_ratio20,limit_up_count_5,heavy_bearish_candle,short_term_strong,pullback_rebound,bench_ret20,bench_ret60,market_ok,market_state,ret20_rank_pct,ret60_rank_pct,industry_ret20,industry_ret60,industry_ret20_rank_pct,industry_ret60_rank_pct,industry_count,industry_strong,basic_liquid,trend_basic,relative_strength,volume_ok,near_breakout,risk_ok,short_term_ok,candidate,score,trend_confirmed_by_score,status,score_trend_status,score_now,score_3d_ago,score_5d_ago,score_change_3d,score_change_5d,score_ma3,score_ma5,score_min5,score_max5,status_5d_ago,status_changed
002831,裕同科技,,2026-06-18,32.33,30.838,29.583999999999996,28.927,27.178,24.11183333333333,0.04514336067240565,0.049078014184396945,0.005544451203615353,0.034150796217727875,0.06278763971071655,0.1395840676771236,0.040553588670743324,0.3381622516556291,572314399.2,584882507.9,593295883.75,0.9646357152903474,0.02630847197115118,0.028484956454744838,32.33,33.28,True,False,-0.028545673076923128,-0.09707759489418877,1.7159999999999997,0.053077636869780384,0.9800547773589636,0.0,False,True,True,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.8525299600532623,0.9077896138482024,,,,,,True,True,True,True,False,True,True,True,False,100,True,短中线转强池,趋势转强,100.0,81.0,68.0,19.0,31.0,91.66666666666667,85.0,69.0,100.0,市场环境弱观察,True
002876,三利谱,,2026-06-18,33.1,31.727999999999998,31.566000000000003,30.610499999999995,29.195,27.536583333333333,0.03019676602376764,0.03420483585610379,0.01924581703154904,0.02347620828269603,0.08453473132372213,0.038594289300282414,0.1370663002404673,0.25,304786029.0,323911120.7,284585807.0,1.0709811294278635,0.06454254042009933,0.06192820531867723,33.56,33.56,False,False,-0.013706793802145456,-0.10283454185893215,1.7150000000000005,0.05181268882175228,1.751052970308235,0.0,False,True,True,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.9127829560585885,0.8808255659121171,,,,,,True,True,True,True,False,True,True,True,False,100,True,短中线转强池,趋势转强,100.0,89.0,76.0,11.0,33.0,97.33333333333333,89.6,67.0,100.0,市场环境弱观察,True
002903,宇环数控,,2026-06-18,54.25,51.208000000000006,48.9,45.86,38.707,31.451583333333335,0.10290760284298983,0.10234445446348062,0.026249244746794353,0.09278525147866357,0.22019793072424654,0.24569460390355924,0.21773288439955119,0.9996314043494288,591376601.8,590506854.3,470476971.85,1.256972470883327,0.10830184889232704,0.0950426645789217,54.9,54.9,False,False,-0.011839708561020013,-0.11850358422939067,2.9650000000000007,0.054654377880184346,1.6311432179523655,1.0,False,True,True,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.9414114513981359,0.9743675099866844,,,,,,True,True,True,True,True,True,True,True,True,100,True,短中线转强池,趋势转强,100.0,98.0,65.0,2.0,30.0,98.66666666666667,92.8,70.0,100.0,市场环境弱观察,True
002913,奥士康,,2026-06-18,70.03,63.99000000000001,57.86800000000001,56.370000000000005,52.64750000000001,48.21516666666667,0.16919422620135238,0.09422331473952927,0.05456144125267759,0.02660392136471046,0.27861968230783263,0.3014309607879575,0.3390057361376675,0.45774354704413,689677244.4,548633559.3,524398194.1,1.3151785268514522,0.035863725275409104,0.030486216071062177,70.66,70.66,False,False,-0.00891593546560987,-0.13045756199790426,3.8639999999999994,0.05517635299157503,1.9294443093153117,1.0,False,True,True,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.9670439414114514,0.933422103861518,,,,,,True,True,True,True,True,True,True,True,True,100,True,短中线转强池,趋势转强,100.0,100.0,66.0,0.0,32.0,100.0,93.6,68.0,100.0,市场环境弱观察,True
002972,科安达,,2026-06-18,16.72,15.368,14.047,13.126,12.8805,12.517166666666668,0.16037450921171859,0.12745806244481916,0.0498280412700951,0.02502785293649512,0.2792654934965568,0.3093187157400157,0.3375999999999999,0.4679543459174713,319178825.0,207829703.1,137903776.5,2.314503874373593,0.15388313449202076,0.07323331500011712,17.27,17.27,False,False,-0.031847133757961776,-0.08784313725490189,0.7364999999999999,0.044049043062200956,4.741711903979655,1.0,False,True,True,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.9660452729693741,0.9364181091877497,,,,,,True,True,True,True,True,True,True,True,True,100,True,短中线转强池,强趋势延续,100.0,100.0,73.0,0.0,20.0,100.0,96.0,80.0,100.0,流动性不足,True
003022,联泓新科,,2026-06-18,28.19,27.466,25.731,25.3815,23.575499999999998,21.968666666666667,0.0952229045378421,0.046400976006506944,0.029341390218184715,0.03971334068357213,0.14129554655870447,0.15960510078157153,0.16487603305785137,0.454592363261094,962891087.2,833093996.2,812573663.45,1.1849892883702222,0.026487870071593915,0.02397441341748571,28.65,28.65,False,False,-0.016055846422338482,-0.11948955916473314,1.6350000000000002,0.05799929052855623,1.8434018551091764,0.0,False,True,True,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.9250998668442078,0.9327563249001332,,,,,,True,True,True,True,False,True,True,True,False,100,True,短中线转强池,趋势转强,100.0,87.0,53.0,13.0,32.0,100.0,91.0,68.0,100.0,市场环境弱观察,True
003026,中晶科技,,2026-06-18,37.86,35.402,34.283,32.576,29.688166666666667,26.20875,0.028231193726401482,0.07906581473670937,0.01563547366287854,0.06448624938746739,0.06798307475317333,0.18534752661239828,0.19620853080568734,0.6403812824956674,997961351.2,785942845.9,589834886.4,1.691933410875305,0.19615356240328338,0.12239867187758229,40.1,40.1,False,False,-0.055860349127182074,-0.09453652547575198,2.4564999999999997,0.0648837823560486,1.1474043042095807,0.0,False,True,True,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.9357523302263648,0.9530625832223701,,,,,,True,True,True,True,True,False,True,True,False,100,True,短中线转强池,趋势转强,100.0,90.0,71.0,10.0,31.0,97.66666666666667,90.4,69.0,100.0,市场环境弱观察,True
600259,中稀有色,,2026-06-18,116.28,104.394,97.565,91.985,91.444,84.24775,0.12046796179027597,0.10299022101633604,0.03733901707377574,0.017640632621908958,0.26267781518080136,0.2399232245681382,0.3388601036269432,0.4613547819529975,2945398024.6,2172304988.6,1638025967.35,1.7981387861421194,0.08373642278554623,0.0512151736418386,116.28,116.28,True,True,0.0,-0.09007803790412483,6.4975000000000005,0.0558780529755762,2.1870208028780675,1.0,False,True,True,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.9663781624500666,0.9347536617842876,,,,,,True,True,True,True,True,True,True,True,True,100,True,短中线转强池,趋势转强,100.0,91.0,43.0,9.0,38.0,95.66666666666667,88.0,62.0,100.0,市场环境弱观察,True
600345,长江通信,,2026-06-18,64.78,61.25,58.924,54.895,51.45316666666667,44.495666666666665,0.05334663273027451,0.09343279704577934,0.03233632029788169,0.06262821660172668,0.13629187861778647,0.19432153392330376,0.2696981575852606,0.7555555555555558,1509576460.0,1344122349.0,1004556912.85,1.5027286564752447,0.11712723076405378,0.08457797720891459,65.65,65.65,False,False,-0.013252094440213358,-0.10093672337985093,4.1115,0.06346866316764434,1.7264901060603894,0.0,False,True,True,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.9523968042609854,0.9600532623169108,,,,,,True,True,True,True,True,True,True,True,True,100,True,短中线转强池,强趋势延续,100.0,100.0,77.0,0.0,17.0,100.0,96.6,83.0,100.0,市场环境弱观察,True
600460,士兰微,,2026-06-18,41.83,37.692,35.597,35.0345,30.311833333333333,30.098583333333334,0.11547795205682165,0.053290330216593684,0.0456342988464582,0.040386474535355266,0.26069921639541893,0.1843148357870894,0.35197155785391065,0.541267501842299,5388997360.2,3960281739.5,4241548995.3,1.2705257834275805,0.08423498602008975,0.07121832870743626,42.62,42.62,False,False,-0.018535898639136517,-0.16415192507804355,2.496999999999998,0.05969399952187421,2.1643591828654802,1.0,False,True,False,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.9697070572569907,0.9460719041278296,,,,,,True,True,True,True,True,True,True,True,True,100,True,短中线转强池,趋势转强,100.0,76.0,61.0,24.0,43.0,93.66666666666667,82.8,57.0,100.0,市场环境弱观察,True
