code,name,signal_date,close,ma20,ma60,ma120,ma20_slope_5,ma60_slope_10,ret10,ret20,ret60,amount_ma5,amount_ma20,amount_ratio_5_20,turnover_ma5,turnover_ma20,high20,high60,is_20d_high,is_60d_high,dist_to_60d_high,max_dd20,up_down_amount_ratio20,limit_up_count_5,heavy_bearish_candle,bench_ret20,bench_ret60,ret20_rank_pct,ret60_rank_pct,basic_liquid,trend_basic,relative_strength,volume_ok,near_breakout,risk_ok,candidate,score,status
600226,亨通股份,2026-06-09,7.43,6.2685,5.533333333333333,5.526666666666667,0.048594847775175865,0.02757745519824195,0.10401188707280817,0.3315412186379927,0.3315412186379927,1373769052.4,978998760.8,1.4032388062242378,0.0680439556190528,0.051470063189855544,7.43,7.43,True,True,0.0,-0.09658246656760783,2.0554270693655226,2.0,False,-0.029554286772134564,0.020685531457567352,0.9827012641383899,0.9444444444444444,True,True,True,True,True,True,True,100,强趋势池
605358,立昂微,2026-06-09,71.17,56.64549999999999,43.821333333333335,41.459666666666664,0.08082504126160317,0.09097849810375025,0.3479166666666669,0.3946698020772095,0.9004005340453938,5479274433.2,3918843909.15,1.3981864448355785,0.12350283123788848,0.10062392997665988,71.17,71.17,True,True,0.0,-0.08884752073108815,2.31802303532502,2.0,False,-0.029554286772134564,0.020685531457567352,0.9850299401197605,0.9850299401197605,True,True,True,True,True,True,True,100,强趋势池
002747,埃斯顿,2026-06-09,37.53,28.410499999999995,23.5415,23.4805,0.07987760842297309,0.055917290254094754,0.24975024975024973,0.5274725274725276,0.6791946308724832,3034965244.8,2327450234.6,1.3039871700292638,0.12366517980259181,0.10336605172790463,37.53,37.53,True,True,0.0,-0.10855810855810866,2.2878125121276436,2.0,False,-0.029554286772134564,0.020685531457567352,0.9920159680638723,0.9757152361942781,True,True,True,True,True,True,True,98,强趋势池
003043,华亚智能,2026-06-09,73.29,62.895500000000006,56.87833333333333,53.620666666666665,0.039036881014331115,0.03146345886477664,0.18900064892926682,0.2292854746729287,0.41023667500481054,490729242.0,394494041.65,1.2439458906590561,0.08729302592895023,0.07389484514646032,73.29,73.29,True,True,0.0,-0.10144927536231885,1.7923104680619395,2.0,False,-0.029554286772134564,0.020685531457567352,0.9667332002661344,0.9544244843646041,True,True,True,True,True,True,True,98,强趋势池
600522,中天科技,2026-06-09,54.48,43.8425,35.318,28.314500000000002,0.04656020242528425,0.08073317761299048,0.3458498023715415,0.23593466424682386,0.8153948683772074,20924181338.4,15043608056.0,1.3909017876901273,0.12763622215895493,0.09958308807773758,54.48,54.48,True,True,0.0,-0.14005725611098874,2.5985854097503154,1.0,False,-0.029554286772134564,0.020685531457567352,0.9677312042581504,0.9810379241516967,True,True,True,True,True,True,True,98,强趋势池
002463,沪电股份,2026-06-09,141.09,121.77649999999998,101.1085,86.76091666666666,0.06292360398891472,0.09959507272015422,0.05796340731853622,0.2982149429517851,0.8351977107180022,14969059232.6,11003438607.75,1.3603983051313535,0.05745205749829674,0.046022104307371615,142.78,142.78,False,False,-0.011836391651491751,-0.08864807248179074,1.5954899435140113,0.0,False,-0.029554286772134564,0.020685531457567352,0.979707252162342,0.9823685961410512,True,True,True,True,True,True,True,87,强趋势池
600378,昊华科技,2026-06-09,52.48,39.7375,35.271166666666666,34.919250000000005,0.08108659575046939,0.03215564247880831,0.3452960779287362,0.5854984894259818,0.4700280112044817,3925985012.4,2031111061.45,1.9329248345470873,0.07701964472257525,0.04463658654432974,53.31,53.31,False,False,-0.015569311573813693,-0.05722070844686655,4.061787748322716,0.0,False,-0.029554286772134564,0.020685531457567352,0.9936793080505656,0.9607451763140386,True,True,True,True,True,True,True,87,强趋势池
603663,三祥新材,2026-06-09,69.8,55.5265,48.25833333333333,44.38375,0.10650233151329158,0.04646666160690738,0.19725557461406518,0.5838438847288403,0.3348632625741059,1632826384.2,1260665702.3,1.2952096509177793,0.057831744614578594,0.051452796020053405,71.2,71.2,False,False,-0.01966292134831471,-0.08202089505691557,1.2591634791533843,2.0,False,-0.029554286772134564,0.020685531457567352,0.9933466400532269,0.9457751164337991,True,True,True,True,True,True,True,87,强趋势池
600985,淮北矿业,2026-06-09,16.83,14.435999999999998,13.914666666666667,12.935583333333334,0.05145853818420165,0.027076900365372136,0.2550335570469797,0.26161919040479753,0.23568281938325986,853378838.6,528831812.45,1.613705564811658,0.01904392349260936,0.012990940893677017,17.51,17.51,False,False,-0.038834951456310884,-0.05803571428571419,2.3605251102077265,0.0,False,-0.029554286772134564,0.020685531457567352,0.9730538922155688,0.9268130405854956,True,True,True,True,True,True,True,86,强趋势池
603466,风语筑,2026-06-09,12.24,10.939,10.063500000000001,10.03525,0.03741286926833909,0.0043914366984383335,0.17579250720461093,0.1724137931034484,0.15037593984962405,818202051.6,637260132.65,1.283937296057681,0.11777636254776173,0.09679320658405945,12.65,12.65,False,False,-0.032411067193675924,-0.06720430107526887,1.9221412808733993,0.0,False,-0.029554286772134564,0.020685531457567352,0.9547571523619428,0.8985362608117099,True,True,True,True,True,True,True,86,强趋势池
