date,open,close,high,low,volume,amount,pct_chg,change,turnover,amplitude,outstanding_share
2023-06-26,39.81,40.54,41.53,39.71,2139116.0,88007809.0,,,0.12457201438504537,,17171722.0
2023-06-27,40.85,39.98,40.89,39.76,1765007.0,71471549.0,-1.3813517513566853,-0.5600000000000023,0.10278567286379316,2.787370498273317,17171722.0
2023-06-28,39.94,38.97,39.98,37.96,2380987.0,93258569.0,-2.5262631315657758,-1.009999999999998,0.13865743924808474,5.052526263131556,17171722.0
2023-06-29,38.8,40.25,40.44,38.8,2282916.0,92288869.0,3.284577880420847,1.2800000000000011,0.13294624732452576,4.208365409289199,17171722.0
2023-06-30,39.97,40.19,40.5,39.78,1515253.0,61484054.0,-0.14906832298137163,-0.060000000000002274,0.08824117930630371,1.7888198757763947,17171722.0
2023-07-03,40.41,39.95,40.75,39.89,1218296.0,49458591.0,-0.5971634735008613,-0.23999999999999488,0.07094780593349927,2.1398357800447863,17171722.0
2023-07-04,40.35,40.57,40.73,39.95,1582550.0,64710232.0,1.5519399249061205,0.6199999999999974,0.09216023879259168,1.9524405506883453,17171722.0
2023-07-05,40.42,39.59,40.52,39.56,1298331.0,52368845.0,-2.4155780133103155,-0.9799999999999969,0.07560866638768086,2.366280502834609,17171722.0
2023-07-06,39.56,40.29,40.63,39.26,1383443.0,56139908.0,1.7681232634503496,0.6999999999999957,0.08056518734696497,3.4604698156100135,17171722.0
2023-07-07,39.76,39.3,40.19,39.28,1272958.0,50937548.0,-2.4571854058078935,-0.990000000000002,0.0741310626855012,2.258624968974923,17171722.0
2023-07-10,39.52,39.58,39.83,39.07,778311.0,31018822.0,0.7124681933842192,0.28000000000000114,0.045325157255632256,1.9338422391857457,17171722.0
2023-07-11,39.56,40.41,40.55,39.28,1591905.0,64639068.0,2.0970186963112702,0.8299999999999983,0.09270502981587986,3.2086912582112075,17171722.0
2023-07-12,40.39,39.56,40.82,39.51,1334415.0,54171086.0,-2.103439742637947,-0.8499999999999943,0.07771002814976856,3.241771838653804,17171722.0
2023-07-13,39.51,40.26,40.34,39.32,1137324.0,46145232.0,1.769464105156704,0.6999999999999957,0.06623237902407225,2.5783619817998056,17171722.0
2023-07-14,40.35,44.29,44.29,40.06,5745729.0,247762021.0,10.009935419771487,4.030000000000001,0.33460412415248747,10.506706408345746,17171722.0
2023-07-17,48.45,48.72,48.72,45.79,5484604.0,265862233.0,10.002257846014896,4.43,0.3193974372517794,6.615488823662226,17171722.0
2023-07-18,48.96,53.6,53.6,46.05,12653884.0,641646342.0,10.016420361247945,4.880000000000003,0.7369024492709584,15.49671592775042,17171722.0
2023-07-19,52.96,49.39,57.05,49.35,12788300.0,675713887.0,-7.854477611940302,-4.210000000000001,0.744730202364096,14.365671641791037,17171722.0
2023-07-20,46.52,54.33,54.33,46.52,11167959.0,574431061.0,10.002024701356538,4.939999999999998,0.6503691941903089,15.81291759465478,17171722.0
2023-07-21,52.42,48.9,55.91,48.9,10131475.0,529579826.0,-9.994478188845946,-5.43,0.5900092605738667,12.902632063316766,17171722.0
2023-07-24,45.79,45.0,47.53,44.51,6888165.0,318456438.0,-7.975460122699385,-3.8999999999999986,0.4011342019163832,6.175869120654403,17171722.0
2023-07-25,45.12,48.25,49.24,45.12,7416391.0,355953875.0,7.222222222222219,3.25,0.431895589737593,9.155555555555566,17171722.0
2023-07-26,49.51,47.28,51.23,47.04,5962717.0,293387551.0,-2.010362694300516,-0.9699999999999989,0.34724048059944135,8.683937823834192,17171722.0
2023-07-27,47.2,45.75,48.22,45.36,4530403.0,212267561.0,-3.2360406091370586,-1.5300000000000011,0.26382927699388564,6.049069373942469,17171722.0
2023-07-28,45.18,44.25,45.99,44.25,3773300.0,170980923.0,-3.2786885245901676,-1.5,0.2197391735086324,3.8032786885245944,17171722.0
2023-07-31,43.52,43.95,44.65,42.32,3166519.0,139161415.0,-0.6779661016949046,-0.29999999999999716,0.18440311344430105,5.265536723163837,17171722.0
2023-08-01,43.6,42.39,43.93,42.03,2990503.0,129066890.0,-3.549488054607508,-1.5600000000000023,0.1741527727970439,4.323094425483501,17171722.0
2023-08-02,43.0,42.56,43.0,42.03,1755500.0,75417345.0,0.4010379806558273,0.1700000000000017,0.10223203007828802,2.2882755366831775,17171722.0
2023-08-03,42.5,41.89,42.55,41.55,2096200.0,88826228.0,-1.5742481203007586,-0.6700000000000017,0.12207278920541574,2.3496240601503757,17171722.0
2023-08-04,41.98,42.14,42.27,41.56,1774983.0,75342290.0,0.5968011458582057,0.25,0.1033666279945599,1.6949152542372903,17171722.0
2023-08-07,41.94,43.09,43.09,41.94,3038063.0,131098051.0,2.254390128144279,0.9500000000000028,0.17692244260651319,2.728998576174669,17171722.0
2023-08-08,43.22,42.13,43.48,41.82,3084006.0,132150586.0,-2.227895103272226,-0.9600000000000009,0.17959794597187168,3.8524019494082076,17171722.0
2023-08-09,41.69,42.79,42.92,40.96,2992196.0,127178789.0,1.5665796344647376,0.6599999999999966,0.17425136512226322,4.652266793258962,17171722.0
2023-08-10,42.64,44.44,45.0,42.03,5409206.0,239244114.0,3.8560411311054033,1.6499999999999986,0.3150066137804933,6.940874035989715,17171722.0
2023-08-11,43.52,43.82,44.87,43.29,3647570.0,161829798.0,-1.3951395139513934,-0.6199999999999974,0.21241725203797265,3.5553555355535518,17171722.0
2023-08-14,43.52,43.53,44.01,42.05,2330190.0,102009223.0,-0.6617982656321297,-0.28999999999999915,0.1356992618445605,4.472843450479235,17171722.0
2023-08-15,43.63,47.88,47.88,43.63,8687059.0,407675001.0,9.993108201240531,4.350000000000001,0.5058932936370621,9.76338157592465,17171722.0
2023-08-16,46.48,48.0,49.02,45.8,7998690.0,382222853.0,0.25062656641603454,0.11999999999999744,0.4658059337322139,6.725146198830421,17171722.0
2023-08-17,47.27,47.53,47.9,46.29,4534104.0,215815740.0,-0.9791666666666643,-0.46999999999999886,0.26404480575681344,3.3541666666666656,17171722.0
2023-08-18,46.66,46.41,49.95,46.37,5976174.0,290770915.0,-2.356406480117834,-1.1200000000000045,0.34802415273203235,7.532084998948044,17171722.0
2023-08-21,45.79,46.85,47.56,44.3,4819081.0,223487306.0,0.9480715363068493,0.44000000000000483,0.28064052050225363,7.0243482008188005,17171722.0
2023-08-22,46.17,44.76,47.25,43.32,4754434.0,217163371.0,-4.461045891141946,-2.0900000000000034,0.2768757845019853,8.38847385272145,17171722.0
2023-08-23,43.91,43.02,44.42,42.13,3449136.0,151153759.0,-3.887399463806962,-1.7399999999999949,0.20086139293426716,5.116175156389632,17171722.0
2023-08-24,43.03,41.04,43.45,41.0,3253506.0,137397117.0,-4.602510460251052,-1.980000000000004,0.18946882554935376,5.695025569502564,17171722.0
2023-08-25,40.42,38.37,40.9,38.18,2828078.0,112344713.0,-6.5058479532163815,-2.6700000000000017,0.16469390780959534,6.627680311890835,17171722.0
2023-08-28,40.04,37.91,40.53,37.63,2594600.0,101953102.0,-1.1988532707844723,-0.46000000000000085,0.15109725163265514,7.557988011467288,17171722.0
2023-08-29,37.59,40.91,41.32,37.43,3298629.0,132974613.0,7.91347929306252,3.0,0.19209657598696275,10.261144816671065,17171722.0
2023-08-30,40.75,41.97,42.83,40.4,2585538.0,109699140.0,2.591053532143728,1.0600000000000023,0.15056952354574574,5.9398680029332676,17171722.0
2023-08-31,41.54,43.07,43.37,41.54,2178878.0,94497656.0,2.6209197045508725,1.1000000000000014,0.12688756549867275,4.360257326661897,17171722.0
2023-09-01,42.62,41.82,43.5,41.76,1699298.0,72526428.0,-2.902252147666584,-1.25,0.09895909099856147,4.039934989551897,17171722.0
2023-09-04,41.89,41.7,42.38,40.95,1357038.0,56899175.0,-0.2869440459110417,-0.11999999999999744,0.07902748483815426,3.419416547106647,17171722.0
2023-09-05,41.73,42.06,42.49,41.54,1756300.0,74607900.0,0.8633093525179936,0.35999999999999943,0.10227861830048261,2.27817745803358,17171722.0
2023-09-06,42.33,44.77,45.96,42.06,3854083.0,172385116.0,6.443176414645735,2.710000000000001,0.22444359395056593,9.272467902995716,17171722.0
2023-09-07,44.31,44.77,45.12,43.48,2742700.0,122612856.0,0.0,0.0,0.15972189626643152,3.6631672995309366,17171722.0
2023-09-08,45.4,45.74,46.12,44.04,3755960.0,171644801.0,2.1666294393567043,0.9699999999999989,0.2187293737925643,4.645968282331914,17171722.0
2023-09-11,45.84,44.06,45.99,43.29,3435499.0,153177389.0,-3.6729339746392697,-1.6799999999999997,0.20006723845168237,5.902929602098825,17171722.0
2023-09-12,43.58,42.97,44.42,42.66,2579740.0,112502687.0,-2.473899228325016,-1.0900000000000034,0.15023187540539032,3.994552882433057,17171722.0
2023-09-13,41.98,43.07,43.91,41.54,2192800.0,94495289.0,0.23272050267628686,0.10000000000000142,0.1276983170354144,5.515475913427967,17171722.0
2023-09-14,42.24,41.17,42.83,40.75,1890784.0,79464470.0,-4.411423264453207,-1.8999999999999986,0.11011033139250682,4.8293475737172,17171722.0
2023-09-15,41.17,40.35,41.51,40.0,1396607.0,57152633.0,-1.991741559387905,-0.8200000000000003,0.08133179654317721,3.667719213019184,17171722.0
2023-09-18,40.43,40.58,41.09,39.61,1191702.0,48788813.0,0.5700123915737265,0.22999999999999687,0.0693990969571951,3.6679058240396625,17171722.0
2023-09-19,40.71,40.4,41.04,39.65,961111.0,38873260.0,-0.44356826022671214,-0.17999999999999972,0.05597056602709967,3.425332676195172,17171722.0
2023-09-20,40.56,40.06,41.38,39.94,1403700.0,57375343.0,-0.8415841584158312,-0.3399999999999963,0.08174485936821013,3.5643564356435764,17171722.0
2023-09-21,39.66,41.64,44.06,39.64,3612576.0,153580749.0,3.9440838741887196,1.5799999999999983,0.21037936672862512,11.03344982526211,17171722.0
2023-09-22,42.53,42.39,43.58,41.64,3601349.0,153898992.0,1.8011527377521652,0.75,0.20972555926540157,4.658981748318919,17171722.0
2023-09-25,41.55,43.22,43.87,41.55,4015423.0,172966505.0,1.9580089643783882,0.8299999999999983,0.23383927366166304,5.472988912479359,17171722.0
2023-09-26,42.53,41.54,42.53,40.64,2792302.0,117942128.0,-3.887089310504399,-1.6799999999999997,0.16261048251305257,4.372975474317447,17171722.0
2023-09-27,41.4,40.48,41.84,40.12,2092000.0,86459072.0,-2.5517573423206596,-1.0600000000000023,0.12182820103889407,4.140587385652398,17171722.0
2023-09-28,40.61,41.92,42.27,40.28,2110337.0,88347566.0,3.5573122529644285,1.4400000000000048,0.12289606132687217,4.916007905138345,17171722.0
2023-10-09,41.59,42.17,42.85,40.85,2068700.0,87291690.0,0.5963740458015288,0.25,0.12047131906747617,4.770992366412213,17171722.0
2023-10-10,42.33,42.74,43.1,41.93,2473621.0,106395661.0,1.3516718046004295,0.5700000000000003,0.14405200596655363,2.774484230495617,17171722.0
2023-10-11,42.54,43.12,43.12,42.13,2130602.0,91975862.0,0.8890968647636832,0.37999999999999545,0.12407619923033927,2.316331305568542,17171722.0
2023-10-12,43.17,42.64,43.17,41.86,1852019.0,79462821.0,-1.1131725417439675,-0.4799999999999969,0.10785284085078946,3.038033395176258,17171722.0
2023-10-13,42.65,42.97,43.87,41.94,2384721.0,103829692.0,0.7739212007504603,0.3299999999999983,0.13887488977517806,4.526266416510318,17171722.0
2023-10-16,43.15,42.22,43.52,41.65,2061209.0,88114291.0,-1.7454037700721403,-0.75,0.12003507860190143,4.351873400046554,17171722.0
2023-10-17,42.22,42.21,43.21,41.31,1792000.0,76273763.0,-0.0236854571293188,-0.00999999999999801,0.1043576177159169,4.50023685457129,17171722.0
2023-10-18,42.12,40.34,42.12,40.01,1858000.0,76244502.0,-4.430229803364128,-1.8699999999999974,0.10820114604697188,4.998815446576639,17171722.0
2023-10-19,39.96,41.03,43.02,39.96,2887368.0,121743380.0,1.710461080813075,0.6899999999999977,0.16814667742699305,7.585523054040659,17171722.0
2023-10-20,39.96,38.5,41.32,38.37,2281802.0,91280531.0,-6.166219839142095,-2.530000000000001,0.13288137322511975,7.189861077260548,17171722.0
2023-10-23,37.75,37.73,39.01,37.48,1229909.0,47372872.0,-2.000000000000013,-0.7700000000000031,0.07162409221393172,3.974025974025977,17171722.0
2023-10-24,37.68,39.36,39.52,37.68,1728722.0,68368497.0,4.320169626292092,1.6300000000000026,0.10067260581087907,4.87675589716407,17171722.0
2023-10-25,39.49,39.36,40.0,38.76,1072000.0,42531819.0,0.0,0.0,0.062428217740771716,3.150406504065046,17171722.0
2023-10-26,38.98,39.17,39.24,38.33,1061146.0,41565813.0,-0.4827235772357663,-0.18999999999999773,0.0617961320361464,2.3119918699187085,17171722.0
2023-10-27,38.57,39.56,39.76,38.42,1187646.0,46953528.0,0.9956599438345703,0.39000000000000057,0.06916289467066844,3.420985448046965,17171722.0
2023-10-30,39.71,40.98,41.62,39.07,2214201.0,90670140.0,3.5894843276036204,1.4199999999999946,0.12894461021439782,6.445904954499487,17171722.0
2023-10-31,40.89,40.35,41.22,39.94,1393355.0,56991542.0,-1.5373352855051148,-0.6299999999999955,0.08114241541995613,3.123474865788192,17171722.0
2023-11-01,40.06,40.37,40.64,39.84,602255.0,24584525.0,0.049566294919434206,0.01999999999999602,0.03507248719726536,1.9826517967781836,17171722.0
2023-11-02,40.66,39.56,41.0,39.56,822800.0,33292377.0,-2.006440426058942,-0.8099999999999952,0.047915986527152024,3.567005201882581,17171722.0
2023-11-03,39.36,41.15,41.3,39.26,1640400.0,67755447.0,4.01921132457026,1.5899999999999963,0.09552914961003911,5.156723963599593,17171722.0
2023-11-06,41.15,41.92,42.75,41.15,1303800.0,55303175.0,1.871202916160386,0.7700000000000031,0.07592715512165873,3.8882138517618507,17171722.0
2023-11-07,41.85,41.97,42.25,41.7,830100.0,35252143.0,0.11927480916029687,0.04999999999999716,0.0483411040546778,1.312022900763352,17171722.0
2023-11-08,41.99,41.7,42.21,41.23,789550.0,33260413.0,-0.6433166547533897,-0.269999999999996,0.04597966354218872,2.335001191327148,17171722.0
2023-11-09,41.79,41.2,42.1,40.86,705000.0,29491960.0,-1.1990407673860948,-0.5,0.04105587080899632,2.9736211031175106,17171722.0
2023-11-10,41.04,41.94,42.8,40.65,1623300.0,68451461.0,1.7961165048543615,0.7399999999999949,0.09453332636062942,5.218446601941744,17171722.0
2023-11-13,41.94,44.38,46.14,41.77,5943350.0,268023174.0,5.817835002384375,2.440000000000005,0.34611263797538766,10.41964711492608,17171722.0
2023-11-14,45.36,44.99,45.49,43.33,3461240.0,155401589.0,1.3744930148715584,0.6099999999999994,0.20156627273607156,4.8670572329878405,17171722.0
2023-11-15,44.99,44.05,45.1,43.88,1944418.0,87156984.0,-2.089353189597698,-0.9400000000000048,0.11323372227898867,2.7117137141586993,17171722.0
2023-11-16,44.26,44.07,44.49,43.18,2538043.0,112076396.0,0.0454029511918419,0.020000000000003126,0.14780363902932972,2.973893303064705,17171722.0
2023-11-17,44.07,45.45,47.35,43.82,4977520.0,226789575.0,3.131381892443841,1.3800000000000026,0.28986725967261756,8.009984116178808,17171722.0
2023-11-20,45.05,45.81,46.48,43.68,4697466.0,213782956.0,0.7920792079207928,0.35999999999999943,0.27355823719950745,6.160616061606154,17171722.0
2023-11-21,45.14,43.08,45.14,43.07,3287097.0,146562906.0,-5.959397511460384,-2.730000000000004,0.19142500676402752,4.518664047151278,17171722.0
2023-11-22,42.63,44.61,47.39,42.63,5496479.0,250816240.0,3.551532033426197,1.5300000000000011,0.3200889811749806,11.049210770659235,17171722.0
2023-11-23,43.91,46.88,47.36,43.7,5885511.0,270615042.0,5.088545169244574,2.270000000000003,0.3427443677459954,8.204438466711492,17171722.0
2023-11-24,45.91,46.36,49.14,45.74,6988614.0,334684317.0,-1.1092150170648574,-0.5200000000000031,0.4069838773304157,7.252559726962454,17171722.0
2023-11-27,45.77,44.39,46.05,43.52,4552264.0,204548989.0,-4.2493528904227755,-1.9699999999999989,0.265102358400631,5.457290767903352,17171722.0
2023-11-28,44.11,45.83,48.83,44.05,4634711.0,216894764.0,3.24397386798827,1.4399999999999977,0.26990368234472933,10.768191034016674,17171722.0
2023-11-29,45.22,44.5,46.47,44.34,3253092.0,148081391.0,-2.902029238490067,-1.3299999999999983,0.18944471614436806,4.647610735326196,17171722.0
2023-11-30,44.34,41.04,44.61,40.65,4353400.0,184200644.0,-7.775280898876402,-3.460000000000001,0.2535214581274959,8.898876404494384,17171722.0
2023-12-01,41.54,41.3,41.69,40.33,1965299.0,81628466.0,0.6335282651072083,0.259999999999998,0.11444973311354563,3.3138401559454174,17171722.0
2023-12-04,41.1,41.42,41.95,41.07,1630378.0,68470084.0,0.29055690072641305,0.12000000000000455,0.09494551565649618,2.1307506053268828,17171722.0
2023-12-05,41.35,40.42,41.46,40.39,1415129.0,58187455.0,-2.4142926122646013,-1.0,0.08241043035753781,2.5832930951231297,17171722.0
2023-12-06,40.59,40.44,40.95,40.15,1064827.0,43602034.0,0.04948045522017441,0.01999999999999602,0.062010496093519336,1.9792182088075316,17171722.0
2023-12-07,40.55,40.26,40.56,40.08,908007.0,37021886.0,-0.4451038575667643,-0.17999999999999972,0.05287803983782174,1.1869436201780514,17171722.0
2023-12-08,40.17,39.56,40.55,39.28,1464176.0,58964180.0,-1.7386984600099242,-0.6999999999999957,0.08526669602501136,3.1544957774465874,17171722.0
2023-12-11,39.46,40.27,40.36,38.98,1390194.0,56116129.0,1.7947421638018213,0.7100000000000009,0.0809583337070097,3.488372093023262,17171722.0
2023-12-12,40.16,40.17,40.55,39.91,806997.0,32779892.0,-0.24832381425379246,-0.10000000000000142,0.04699569443297533,1.5892724112242376,17171722.0
2023-12-13,40.11,39.96,40.45,39.68,850970.0,34493645.0,-0.5227781926811059,-0.21000000000000085,0.04955647430117958,1.9168533731640605,17171722.0
2023-12-14,39.96,39.25,40.35,39.16,1057615.0,42309181.0,-1.7767767767767784,-0.7100000000000009,0.061590503270434964,2.97797797797799,17171722.0
2023-12-15,39.59,39.7,39.93,39.09,803516.0,32162523.0,1.146496815286624,0.45000000000000284,0.04679297743115105,2.1401273885350225,17171722.0
2023-12-18,39.56,39.24,40.04,39.08,929400.0,37141143.0,-1.1586901763224189,-0.46000000000000085,0.05412386713458324,2.4181360201511355,17171722.0
2023-12-19,39.16,39.47,39.7,39.05,632100.0,25164215.0,0.5861365953109043,0.22999999999999687,0.03681051906151288,1.6564729867482304,17171722.0
2023-12-20,39.58,40.26,41.62,39.57,2226835.0,91729660.0,2.001520141879909,0.7899999999999991,0.12968035471340614,5.193818089688364,17171722.0
2023-12-21,40.35,40.19,40.45,38.67,1599905.0,64075817.0,-0.17386984600099575,-0.07000000000000028,0.0931709120378259,4.421261798310982,17171722.0
2023-12-22,39.79,39.18,40.36,39.08,1178498.0,47334606.0,-2.513062950982825,-1.009999999999998,0.06863015834987313,3.1848718586713143,17171722.0
2023-12-25,38.97,39.26,39.61,38.72,784900.0,31018076.0,0.20418580908625472,0.0799999999999983,0.04570886950068258,2.2715671260847383,17171722.0
2023-12-26,39.23,38.34,39.41,38.18,905200.0,35296012.0,-2.343352012226174,-0.9199999999999946,0.052714573413196415,3.1329597554763042,17171722.0
