date,open,close,high,low,volume,amount,pct_chg,change,turnover,amplitude,outstanding_share
2023-06-26,2.48,2.47,2.59,2.47,64551800.0,162514343.0,,,0.015095236313313819,,4276302713.0
2023-06-27,2.48,2.57,2.59,2.46,79503651.0,200873543.0,4.048582995951411,0.09999999999999964,0.01859167985426012,5.263157894736838,4276302713.0
2023-06-28,2.56,2.53,2.59,2.46,80324659.0,201797537.0,-1.5564202334630406,-0.040000000000000036,0.018783670004420477,5.05836575875486,4276302713.0
2023-06-29,2.74,2.52,2.78,2.52,375028646.0,993276498.0,-0.39525691699603405,-0.009999999999999787,0.0876992746233585,10.276679841897225,4276302713.0
2023-06-30,2.37,2.46,2.55,2.32,281732995.0,682852026.0,-2.3809523809523836,-0.06000000000000005,0.06588237875291875,9.126984126984127,4276302713.0
2023-07-03,2.46,2.71,2.71,2.46,189632267.0,502279820.0,10.162601626016254,0.25,0.04434491188463252,10.16260162601626,4276302713.0
2023-07-04,2.98,2.98,2.98,2.88,146794816.0,435529767.0,9.963099630996307,0.27,0.034327508095659924,3.690036900369007,4276302713.0
2023-07-05,3.28,3.08,3.28,3.02,611832075.0,1925134303.0,3.3557046979865834,0.10000000000000009,0.14307501504512876,8.724832214765094,4276302713.0
2023-07-06,3.12,3.39,3.39,3.07,329478383.0,1072342940.0,10.064935064935066,0.31000000000000005,0.07704748824221042,10.389610389610398,4276302713.0
2023-07-07,3.4,3.32,3.67,3.29,632812840.0,2204233765.0,-2.064896755162249,-0.07000000000000028,0.14798130124797831,11.209439528023596,4276302713.0
2023-07-10,3.25,3.1,3.42,3.08,383211910.0,1228353952.0,-6.626506024096379,-0.21999999999999975,0.08961290528732502,10.240963855421684,4276302713.0
2023-07-11,3.16,3.41,3.41,3.11,417126509.0,1398358580.0,10.000000000000009,0.31000000000000005,0.09754372807423842,9.677419354838717,4276302713.0
2023-07-12,3.53,3.75,3.75,3.47,665762176.0,2434839752.0,9.97067448680351,0.33999999999999986,0.15568640030465494,8.211143695014657,4276302713.0
2023-07-13,3.38,3.43,3.54,3.38,606629169.0,2075876107.0,-8.533333333333326,-0.31999999999999984,0.1418583317677305,4.266666666666671,4276302713.0
2023-07-14,3.39,3.28,3.42,3.22,362309997.0,1198776875.0,-4.373177842565612,-0.15000000000000036,0.08472505837778374,5.830903790087456,4276302713.0
2023-07-17,3.21,3.61,3.61,3.11,457942357.0,1538403107.0,10.060975609756095,0.33000000000000007,0.1070883863314566,15.24390243902439,4276302713.0
2023-07-18,3.65,3.96,3.97,3.53,768856619.0,2942818084.0,9.695290858725759,0.3500000000000001,0.1797947130035179,12.18836565096954,4276302713.0
2023-07-19,3.84,4.36,4.36,3.73,740980544.0,3090873484.0,10.1010101010101,0.40000000000000036,0.17327598014691808,15.909090909090917,4276302713.0
2023-07-20,4.4,4.33,4.66,4.19,808547291.0,3584533544.0,-0.6880733944954143,-0.03000000000000025,0.1890762523761493,10.779816513761462,4276302713.0
2023-07-21,4.3,4.22,4.37,4.11,538515530.0,2278407504.0,-2.5404157043879994,-0.11000000000000032,0.1259301705566605,6.004618937644337,4276302713.0
2023-07-24,4.13,4.02,4.35,3.97,468759190.0,1907825141.0,-4.739336492891,-0.20000000000000018,0.10961786886016457,9.004739336492879,4276302713.0
2023-07-25,4.05,4.09,4.3,4.03,522170240.0,2173619106.0,1.7412935323383172,0.07000000000000028,0.12210787566852964,6.716417910447752,4276302713.0
2023-07-26,4.0,3.91,4.21,3.84,444158759.0,1775770375.0,-4.400977995110022,-0.17999999999999972,0.10386513509666967,9.046454767726164,4276302713.0
2023-07-27,4.01,4.0,4.18,3.91,397197897.0,1597023410.0,2.3017902813299296,0.08999999999999986,0.09288348455606632,6.9053708439897585,4276302713.0
2023-07-28,3.85,4.0,4.15,3.7,538281370.0,2129819001.0,0.0,0.0,0.1258754129738336,11.250000000000004,4276302713.0
2023-07-31,4.01,4.4,4.4,4.01,325891850.0,1393509392.0,10.000000000000009,0.40000000000000036,0.07620878872987306,9.750000000000014,4276302713.0
2023-08-01,4.4,4.84,4.84,4.33,598684439.0,2750541821.0,9.999999999999986,0.4399999999999995,0.14000048153279554,11.590909090909085,4276302713.0
2023-08-02,4.88,4.63,5.3,4.62,876161198.0,4296354844.0,-4.338842975206614,-0.20999999999999996,0.20488755282371893,14.049586776859499,4276302713.0
2023-08-03,4.65,4.67,4.78,4.49,539138950.0,2475028750.0,0.8639308855291628,0.040000000000000036,0.12607595537168417,6.263498920086394,4276302713.0
2023-08-04,4.63,4.52,4.77,4.51,451238073.0,2084447448.0,-3.2119914346895206,-0.15000000000000036,0.10552061050968914,5.5674518201284755,4276302713.0
2023-08-07,4.44,4.58,4.62,4.37,356201361.0,1609828514.0,1.3274336283185972,0.0600000000000005,0.08329657297579625,5.530973451327434,4276302713.0
2023-08-08,4.58,4.27,4.62,4.26,380910223.0,1661315147.0,-6.768558951965076,-0.3100000000000005,0.0890746629891353,7.860262008733631,4276302713.0
2023-08-09,4.21,4.49,4.64,4.2,489657268.0,2180594742.0,5.152224824355978,0.22000000000000064,0.11450481896696353,10.304449648711934,4276302713.0
2023-08-10,4.39,4.29,4.39,4.22,308517254.0,1321069848.0,-4.454342984409799,-0.20000000000000018,0.07214579385647903,3.7861915367483276,4276302713.0
2023-08-11,4.28,4.27,4.39,4.11,284859719.0,1204786878.0,-0.4662004662004726,-0.020000000000000462,0.0666135533703037,6.526806526806511,4276302713.0
2023-08-14,4.17,4.08,4.22,4.03,241187458.0,986047570.0,-4.449648711943787,-0.1899999999999995,0.05640093187668588,4.449648711943783,4276302713.0
2023-08-15,4.09,4.19,4.25,4.07,270945714.0,1126057790.0,2.6960784313725616,0.11000000000000032,0.06335980686688117,4.411764705882345,4276302713.0
2023-08-16,4.12,3.99,4.16,3.92,265085154.0,1066571449.0,-4.77326968973747,-0.20000000000000018,0.061989333260748514,5.7279236276849685,4276302713.0
2023-08-17,3.94,4.01,4.19,3.88,290026100.0,1170942178.0,0.5012531328320691,0.019999999999999574,0.06782169539081459,7.769423558897255,4276302713.0
2023-08-18,4.0,4.06,4.18,3.85,367769526.0,1469770391.0,1.2468827930174564,0.04999999999999982,0.08600175214022553,8.229426433915203,4276302713.0
2023-08-21,3.99,3.89,4.03,3.88,215681704.0,849697773.0,-4.187192118226591,-0.16999999999999948,0.050436491164277404,3.694581280788187,4276302713.0
2023-08-22,3.95,3.77,3.99,3.7,266674138.0,1015778467.0,-3.084832904884316,-0.1200000000000001,0.06236091219391652,7.455012853470437,4276302713.0
2023-08-23,3.79,3.61,3.8,3.6,260627992.0,960156578.0,-4.244031830238725,-0.16000000000000014,0.060947039882768,5.3050397877984015,4276302713.0
2023-08-24,3.62,3.5,3.64,3.49,267396584.0,948209180.0,-3.0470914127423754,-0.10999999999999988,0.06252985392898214,4.15512465373961,4276302713.0
2023-08-25,3.47,3.35,3.47,3.32,251750608.0,851439730.0,-4.285714285714281,-0.1499999999999999,0.058871091430144976,4.285714285714296,4276302713.0
2023-08-28,3.53,3.36,3.54,3.35,240593829.0,828210093.0,0.29850746268655914,0.009999999999999787,0.05626211359373426,5.671641791044775,4276302713.0
2023-08-29,3.34,3.7,3.7,3.32,236031160.0,829899286.0,10.119047619047628,0.3400000000000003,0.05519514773415434,11.309523809523819,4276302713.0
2023-08-30,3.81,3.73,3.89,3.69,390797100.0,1474611831.0,0.8108108108108025,0.029999999999999805,0.09138667821900755,5.40540540540541,4276302713.0
2023-08-31,3.68,3.63,3.74,3.61,183388027.0,669537258.0,-2.680965147453085,-0.10000000000000009,0.04288471591183166,3.4852546916890175,4276302713.0
2023-09-01,3.63,3.95,3.99,3.62,505625657.0,1965330172.0,8.81542699724518,0.3200000000000003,0.11823897673635062,10.192837465564741,4276302713.0
2023-09-04,3.87,4.06,4.26,3.84,566256244.0,2273650187.0,2.784810126582271,0.10999999999999943,0.1324172496672361,10.632911392405061,4276302713.0
2023-09-05,4.06,3.87,4.1,3.86,335540366.0,1317383510.0,-4.679802955665013,-0.1899999999999995,0.07846506398622206,5.911330049261078,4276302713.0
2023-09-06,3.88,3.92,4.03,3.87,310031588.0,1222431521.0,1.2919896640826822,0.04999999999999982,0.07249991612088197,4.134366925064603,4276302713.0
