date,open,close,high,low,volume,amount,pct_chg,change,turnover,amplitude,outstanding_share
2023-06-26,54.21,50.52,55.71,49.87,4608417.0,241003490.0,,,0.0691624497848459,,66631778.00000001
2023-06-27,51.22,49.71,51.22,48.61,3298443.0,165127613.0,-1.6033254156769594,-0.8100000000000023,0.049502551170103846,5.166270783847979,66631778.00000001
2023-06-28,50.01,48.11,50.01,47.01,3047500.0,147552211.0,-3.2186682760008023,-1.6000000000000014,0.045736435248658676,6.035003017501508,66631778.00000001
2023-06-29,48.18,48.7,49.46,47.32,3628100.0,177391671.0,1.2263562668883843,0.5900000000000034,0.054449995316048744,4.44813967990023,66631778.00000001
2023-06-30,48.61,49.1,50.59,47.96,3694566.0,183018357.0,0.8213552361396204,0.3999999999999986,0.05544750734401834,5.4004106776180745,66631778.00000001
2023-07-03,50.35,50.29,50.35,47.04,3169938.0,156029025.0,2.4236252545824843,1.1899999999999977,0.04757396688408944,6.7413441955193525,66631778.00000001
2023-07-04,49.8,51.19,51.86,48.39,2500296.0,127321199.0,1.7896202028236274,0.8999999999999986,0.03752407747546523,6.899980115331078,66631778.00000001
2023-07-05,50.97,51.58,51.87,50.27,1505502.0,77529871.0,0.7618675522562901,0.39000000000000057,0.022594354303437616,3.1256104707950665,66631778.00000001
2023-07-06,50.71,51.56,51.88,49.95,1819418.0,93623966.0,-0.03877471888328321,-0.01999999999999602,0.027305559818619877,3.7417603722373007,66631778.00000001
2023-07-07,51.12,50.54,51.12,49.3,1339664.0,67813337.0,-1.9782777346780467,-1.0200000000000031,0.02010548180179133,3.5298681148176887,66631778.00000001
2023-07-10,50.28,48.34,50.28,46.82,3146130.0,151556326.0,-4.352987732489111,-2.1999999999999957,0.04721665989462265,6.846062524732886,66631778.00000001
2023-07-11,47.61,47.12,47.79,45.75,3096200.0,145644590.0,-2.523789822093514,-1.220000000000006,0.0464673177413936,4.220107571369464,66631778.00000001
2023-07-12,46.63,44.13,46.7,43.28,5306200.0,237458029.0,-6.345500848896424,-2.989999999999995,0.07963467521458004,7.258064516129037,66631778.00000001
2023-07-13,43.6,43.18,43.94,42.26,3883886.0,168020991.0,-2.152730568774086,-0.9500000000000028,0.058288794274707775,3.806934058463629,66631778.00000001
2023-07-14,42.98,44.54,45.13,42.26,3370700.0,148913323.0,3.149606299212593,1.3599999999999994,0.05058697368093644,6.646595646132479,66631778.00000001
2023-07-17,43.86,44.47,44.49,42.95,2139126.0,94589152.0,-0.15716210148181142,-0.07000000000000028,0.03210369082451919,3.457566232599908,66631778.00000001
2023-07-18,44.13,44.14,45.33,43.65,2084900.0,93062015.0,-0.7420733078479791,-0.3299999999999983,0.03128987493024724,3.777827749044299,66631778.00000001
2023-07-19,44.12,43.56,44.12,43.02,1339600.0,58732785.0,-1.314000906207513,-0.5799999999999983,0.020104521299131473,2.4920706841866656,66631778.00000001
2023-07-20,44.32,43.11,44.4,42.78,1034200.0,45248476.0,-1.0330578512396715,-0.45000000000000284,0.015521122669126431,3.7190082644628037,66631778.00000001
2023-07-21,42.62,43.1,43.2,42.37,693500.0,29914194.0,-0.023196474135922518,-0.00999999999999801,0.010407946790794025,1.9253073532823135,66631778.00000001
2023-07-24,42.25,44.64,44.88,42.24,2229261.0,99238050.0,3.5730858468677518,1.5399999999999991,0.03345642375024121,6.125290023201857,66631778.00000001
2023-07-25,45.1,43.65,45.37,42.65,2671900.0,117901528.0,-2.2177419354838745,-0.990000000000002,0.04009948526362301,6.093189964157704,66631778.00000001
2023-07-26,44.16,44.92,45.93,44.16,2723900.0,123841591.0,2.9095074455899317,1.2700000000000031,0.040879893674756806,4.054982817869423,66631778.00000001
2023-07-27,44.92,44.29,45.43,43.65,1918500.0,85820183.0,-1.4024933214603852,-0.6300000000000026,0.028792568014619088,3.9626001780943922,66631778.00000001
2023-07-28,43.81,44.64,44.64,43.25,1708900.0,75736596.0,0.7902461052156307,0.3500000000000014,0.025646921803587467,3.138405960713481,66631778.00000001
2023-07-31,44.18,40.86,44.24,40.17,5042446.0,206936579.0,-8.467741935483875,-3.780000000000001,0.0756762936747688,9.117383512544803,66631778.00000001
2023-08-01,40.49,40.13,40.66,39.44,2706120.0,109045226.0,-1.7865883504649904,-0.7299999999999969,0.04061305402956529,2.985805188448358,66631778.00000001
2023-08-02,40.13,39.2,40.24,38.78,2681700.0,106177410.0,-2.317468228258157,-0.9299999999999997,0.04024656223341361,3.638175928233244,66631778.00000001
2023-08-03,40.18,39.0,40.18,38.32,2436800.0,95793770.0,-0.5102040816326592,-0.20000000000000284,0.03657113877405462,4.744897959183671,66631778.00000001
2023-08-04,38.95,39.47,39.68,38.57,1493400.0,58651964.0,1.205128205128192,0.46999999999999886,0.022412729253600282,2.846153846153845,66631778.00000001
2023-08-07,39.06,38.65,39.28,37.2,2718900.0,104706937.0,-2.077527235875354,-0.8200000000000003,0.04080485440445548,5.269825183683807,66631778.00000001
2023-08-08,38.44,38.44,38.44,37.54,2182800.0,83433880.0,-0.5433376455368677,-0.21000000000000085,0.032759143842747224,2.328589909443722,66631778.00000001
2023-08-09,37.94,38.44,38.95,37.44,2001800.0,77208762.0,0.0,0.0,0.030042722257839192,3.928199791883468,66631778.00000001
2023-08-10,38.08,38.54,38.66,37.57,1580100.0,60708902.0,0.2601456815816805,0.10000000000000142,0.023713910200625292,2.835587929240365,66631778.00000001
2023-08-11,38.54,39.34,39.92,38.11,2656900.0,104638643.0,2.0757654385054503,0.8000000000000043,0.03987436745271903,4.696419304618584,66631778.00000001
2023-08-14,39.18,38.4,39.33,36.9,3162300.0,120941552.0,-2.389425521098132,-0.9400000000000048,0.04745933689477714,6.1769191662430085,66631778.00000001
2023-08-15,38.45,36.7,38.45,36.65,2356000.0,88384808.0,-4.427083333333326,-1.6999999999999957,0.03535850416598518,4.687500000000011,66631778.00000001
2023-08-16,36.8,37.03,37.84,36.29,2117600.0,79556938.0,0.8991825613078985,0.3299999999999983,0.03178063175801792,4.223433242506823,66631778.00000001
2023-08-17,37.2,37.69,37.88,36.51,1566117.0,59063910.0,1.7823386443424072,0.6599999999999966,0.0235040553773006,3.6997029435592883,66631778.00000001
2023-08-18,37.45,35.71,37.79,35.71,1961300.0,72228390.0,-5.253382860175105,-1.9799999999999969,0.029434904168398446,5.518705226850619,66631778.00000001
2023-08-21,35.81,35.46,36.6,35.26,1699100.0,61472563.0,-0.7000840100812145,-0.25,0.02549984483379687,3.7524502940352935,66631778.00000001
2023-08-22,35.81,36.01,36.06,34.52,1928800.0,68701016.0,1.5510434292160147,0.5499999999999972,0.028947148911439822,4.342921601804848,66631778.00000001
2023-08-23,35.52,34.7,35.66,34.37,1071300.0,37713721.0,-3.6378783671202286,-1.3099999999999952,0.016077914054762277,3.582338239377948,66631778.00000001
2023-08-24,34.99,34.72,35.37,33.98,1247500.0,43721763.0,0.05763688760804797,0.01999999999999602,0.018722297940181033,4.005763688760808,66631778.00000001
2023-08-25,34.75,34.33,34.81,33.86,1124400.0,38777810.0,-1.123271889400923,-0.39000000000000057,0.016874831105362368,2.7361751152073817,66631778.00000001
2023-08-28,36.42,33.34,36.47,33.12,2203316.0,75191361.0,-2.8837751237984155,-0.9899999999999949,0.03306704497664763,9.758228954267409,66631778.00000001
2023-08-29,33.31,34.7,34.86,32.87,3263100.0,111676904.0,4.079184163167371,1.3599999999999994,0.04897212858405189,5.968806238752255,66631778.00000001
2023-08-30,34.7,35.08,35.48,34.4,1583600.0,55913120.0,1.0951008645533111,0.37999999999999545,0.02376643768983622,3.11239193083573,66631778.00000001
2023-08-31,35.22,35.99,36.19,34.82,2501366.0,89991779.0,2.5940706955530413,0.9100000000000037,0.03754013587930972,3.905359179019377,66631778.00000001
2023-09-01,36.15,35.61,36.25,35.34,1510882.0,54108817.0,-1.055848846901919,-0.38000000000000256,0.022675096558281843,2.528480133370371,66631778.00000001
2023-09-04,35.62,35.36,35.8,34.9,1448200.0,51366068.0,-0.7020499859589968,-0.25,0.02173437425007629,2.527379949452397,66631778.00000001
2023-09-05,34.99,34.81,35.7,34.67,1131200.0,39742138.0,-1.5554298642533881,-0.5499999999999972,0.016976884512972173,2.912895927601813,66631778.00000001
2023-09-06,34.48,35.27,35.4,34.32,1508300.0,53028207.0,1.321459350761267,0.46000000000000085,0.02263634627909824,3.1025567365699462,66631778.00000001
2023-09-07,35.3,34.5,35.37,34.22,1037400.0,36089290.0,-2.1831584916359614,-0.7700000000000031,0.015569147802119281,3.260561383612131,66631778.00000001
2023-09-08,33.94,35.13,35.19,33.93,1280200.0,44677832.0,1.8260869565217552,0.6300000000000026,0.01921305476795171,3.6521739130434723,66631778.00000001
2023-09-11,35.21,36.93,37.49,34.56,3189500.0,117180315.0,5.123825789923142,1.7999999999999972,0.04786755052521636,8.340449758041558,66631778.00000001
2023-09-12,37.09,36.2,37.09,35.7,2092000.0,75846074.0,-1.9767126997021323,-0.7299999999999969,0.03139643069407513,3.7638776062821573,66631778.00000001
2023-09-13,36.0,34.9,36.28,34.56,1389900.0,49037889.0,-3.5911602209944826,-1.3000000000000043,0.02085941635836282,4.75138121546961,66631778.00000001
